ID1	ID2	NGC	  RA1	      Dec1	  RA2	      Dec2	       cz    
0001    -999    -999    175.0771      9.0100    175.0771      9.0099          1843.8 
0002    -999    -999    175.2362     14.0745    175.2364     14.0742           977.9 
0003    -999    3810    175.2449     11.4711    175.2448     11.4711           999.3 
0004    -999    -999    175.4609     15.9737    175.4610     15.9737           753.1 
0005    -999    -999    175.5747     14.9949    175.5793     14.9962          1021.5 
0006    -999    -999    175.6224     18.3327    175.6228     18.3325           906.5 
0007    -999    -999    175.8163     -1.3951    175.8172     -1.3947          1891.7 
0008    -999    -999    175.8624     11.3985    175.8624     11.3984           901.1 
0009    -999    -999    175.9422     13.7076    175.9422     13.7076          2924.3 
0010    -999    -999    176.0439     -3.6689    176.0441     -3.6686          1029.1 
0011    -999    -999    176.1337      6.7041    176.1336      6.7040          1455.2 
0012    -999    -999    176.1516     19.4781    176.1516     19.4777          2775.6 
0013    -999    -999    176.1697     16.8995    176.1696     16.8997           902.1 
0014    -999    -999    176.1810     11.2072    176.1812     11.2073          2944.3 
0015    -999    -999    176.3175     13.8727    176.3174     13.8725          2974.1 
0016    -999    3876    176.3610      9.1611    176.3621      9.1637          2862.8 
0017    -999    -999    176.4740      9.8999    176.4740      9.8998          2918.6 
0018    -999    -999    176.5169     11.5814    176.5169     11.5813          2970.3 
0019    -999    -999    176.7524     -0.2939    176.7530     -0.2942          1463.1 
0020    -999    -999    176.7792      3.1064    176.7791      3.1064          1012.7 
0021    -999    -999    176.8230     16.3346    176.8232     16.3346           809.0 
0022    -999    -999    177.0441     -1.9892    177.0443     -1.9892          1529.3 
0023    -999    -999    177.0683     18.6424    177.0681     18.6425          1010.6 
0024    -999    -999    177.1790     17.1811    177.1797     17.1814          1058.7 
0025    -999    -999    177.2102     -2.0327    177.2100     -2.0323          1712.6 
0026    -999    -999    177.2393     23.8378    177.2392     23.8375           194.5 
0027    -999    -999    177.2730     17.2557    177.2731     17.2557           627.6 
0028    -999    -999    177.3033     -3.6598    177.3033     -3.6596          1606.6 
0029    -999    -999    177.3794     15.2611    177.3793     15.2610           853.2 
0030    -999    -999    177.4880     16.2955    177.4880     16.2955          1199.5 
0031    -999    -999    177.5114     15.0233    177.5114     15.0232           747.9 
0032    -999    -999    177.6414     -0.5379    177.6418     -0.5377          1753.6 
0033    -999    -999    177.7335     14.5952    177.7333     14.5948           969.8 
0034    -999    -999    177.7654      7.6935    177.7646      7.6937          2740.8 
0035    -999    -999    177.7699      5.2461    177.7701      5.2462          1477.5 
0036    -999    -999    177.8881     -2.3731    177.8873     -2.3728          1095.6 
0037    -999    -999    178.0077     13.8794    178.0079     13.8787           954.9 
0038    -999    -999    178.1302     -3.6745    178.1336     -3.6715          1637.6 
0039    -999    -999    178.1555     -2.4690    178.1550     -2.4694          1065.8 
0040    -999    -999    178.1980     -0.6688    178.1980     -0.6688          1411.5 
0041    -999    -999    178.2511     16.0415    178.2513     16.0415           906.8 
0042    -999    -999    178.2755      6.1539    178.2755      6.1538          2527.0 
0043    -999    -999    178.3087     -3.4091    178.3088     -3.4089          1271.5 
0044    -999    -999    178.3144     11.6340    178.3142     11.6341          2727.5 
0045    -999    -999    178.3694     -3.2302    178.3694     -3.2298          1445.8 
0046    -999    -999    178.4334      7.7924    178.4334      7.7924          2560.5 
0047    -999    -999    178.4514     -3.2187    178.4512     -3.2185          1439.6 
0048    -999    -999    178.5077     16.7217    178.5066     16.7233           977.9 
0049    -999    -999    178.5139     18.2366    178.5138     18.2366          2847.0 
0050    -999    -999    178.5317     -3.6824    178.5315     -3.6824          1397.9 
0051    -999    -999    178.5512      0.1368    178.5511      0.1366          1131.8 
0052    -999    -999    178.5655      3.4037    178.5655      3.4041          2609.0 
0053    -999    -999    178.6044     -2.3193    178.6044     -2.3196          2409.2 
0054    -999    -999    178.6869     20.0564    178.6871     20.0565           597.3 
0055    -999    -999    178.7060      6.7094    178.7055      6.7096          1359.1 
0056    -999    -999    178.7653     -3.5034    178.7653     -3.5034          1375.2 
0057    -999    -999    178.7703      1.7196    178.7704      1.7198          1263.7 
0058    -999    -999    178.9037      1.2370    178.9039      1.2372          1890.3 
0059    -999    3976    178.9883      6.7487    178.9926      6.7523          2695.4 
0060    -999    -999    179.0102      6.6780    179.0103      6.6780          2552.2 
0061    -999    -999    179.1368     11.0078    179.1367     11.0078          2805.8 
0062    -999    -999    179.2802      6.6754    179.2800      6.6754          2498.4 
0063    -999    -999    179.2996     -2.6868    179.3016     -2.6865          1385.4 
0064    -999    -999    179.3547      2.1878    179.3548      2.1878          1013.4 
0065    -999    -999    179.3969      2.1678    179.3969      2.1678           945.8 
0066    -999    -999    179.4509     12.0398    179.4505     12.0385          2746.1 
0067    -999    -999    179.6683     15.5929    179.6682     15.5927           560.2 
0068    -999    -999    179.7531      4.6697    179.7531      4.6696          1604.2 
0069    -999    -999    179.7933     -2.5909    179.7929     -2.5909          1548.4 
0070    -999    -999    179.8914     13.8878    179.8909     13.8872          1448.0 
0071    -999    -999    179.9558     21.4489    179.9559     21.4488          1981.9 
0072    -999    4030    180.0981     -1.1003    180.0962     -1.0977          1493.1 
0073    -999    4032    180.1375     20.0745    180.1369     20.0740          1291.9 
0074    -999    -999    180.1978     -3.4201    180.1976     -3.4201          1513.6 
0075    -999    -999    180.2336     10.4984    180.2335     10.4989          2672.5 
0076    -999    4019    180.2933     14.1047    180.2939     14.1038          1532.5 
0077    -999    -999    180.2959     -1.2964    180.2929     -1.2962          1493.1 
0078    -999    -999    180.3398     14.4503    180.3394     14.4498          1223.5 
0079    -999    -999    180.3427      2.1862    180.3430      2.1857          1014.8 
0080    -999    4037    180.3483     13.4015    180.3486     13.4010           917.2 
0081    -999    -999    180.3647     14.0345    180.3647     14.0345          1480.6 
0082    -999    -999    180.4353      5.8216    180.4348      5.8214          1247.5 
0083    -999    -999    180.4379      8.6831    180.4380      8.6831          2184.9 
0084    -999    4045    180.6761      1.9771    180.6760      1.9768          1996.9 
0085    -999    4049    180.7278     18.7525    180.7269     18.7524           838.2 
0086    -999    -999    180.7616      6.5014    180.7617      6.5013          1300.4 
0087    -999    -999    180.8126     10.1080    180.8129     10.1078          2528.0 
0088    -999    -999    180.9001     16.0553    180.8998     16.0555           890.3 
0089    -999    -999    180.9175      2.6416    180.9172      2.6412          1226.1 
0090    -999    -999    180.9604     16.5546    180.9607     16.5545          2091.5 
0091    -999    -999    180.9605     14.5504    180.9606     14.5501           915.8 
0092    -999    -999    181.0191      4.8124    181.0181      4.8131          2235.7 
0093    -999    4064    181.0469     18.4442    181.0462     18.4446           933.2 
0094    -999    -999    181.0523      0.8025    181.0522      0.8026          2946.8 
0095    -999    -999    181.0863     -1.5308    181.0845     -1.5302          1462.9 
0096    -999    -999    181.1965     10.6269    181.1962     10.6266          2574.6 
0097    -999    -999    181.2484     14.4059    181.2482     14.4057          1237.9 
