JD,Vmag
2458149.500000000,17.282
2458150.500000000,17.271
2458151.500000000,17.259
2458152.500000000,17.247
2458153.500000000,17.235
2458154.500000000,17.223
2458155.500000000,17.210
2458156.500000000,17.197
2458157.500000000,17.184
2458158.500000000,17.171
2458159.500000000,17.158
2458160.500000000,17.144
2458161.500000000,17.130
2458162.500000000,17.116
2458163.500000000,17.102
2458164.500000000,17.087
2458165.500000000,17.073
2458166.500000000,17.058
2458167.500000000,17.043
2458168.500000000,17.027
2458169.500000000,17.012
2458170.500000000,16.996
2458171.500000000,16.980
2458172.500000000,16.964
2458173.500000000,16.947
2458174.500000000,16.931
2458175.500000000,16.914
2458176.500000000,16.897
2458177.500000000,16.879
2458178.500000000,16.862
2458179.500000000,16.844
2458180.500000000,16.826
2458181.500000000,16.808
2458182.500000000,16.789
2458183.500000000,16.771
2458184.500000000,16.752
2458185.500000000,16.733
2458186.500000000,16.713
2458187.500000000,16.694
2458188.500000000,16.674
2458189.500000000,16.654
2458190.500000000,16.634
2458191.500000000,16.613
2458192.500000000,16.593
2458193.500000000,16.572
2458194.500000000,16.551
2458195.500000000,16.530
2458196.500000000,16.508
2458197.500000000,16.486
2458198.500000000,16.464
2458199.500000000,16.442
2458200.500000000,16.420
2458201.500000000,16.397
2458202.500000000,16.375
2458203.500000000,16.352
2458204.500000000,16.328
2458205.500000000,16.305
2458206.500000000,16.282
2458207.500000000,16.258
2458208.500000000,16.234
2458209.500000000,16.210
2458210.500000000,16.186
2458211.500000000,16.161
2458212.500000000,16.136
2458213.500000000,16.112
2458214.500000000,16.087
2458215.500000000,16.062
2458216.500000000,16.036
2458217.500000000,16.011
2458218.500000000,15.985
2458219.500000000,15.960
2458220.500000000,15.934
2458221.500000000,15.908
2458222.500000000,15.882
2458223.500000000,15.856
2458224.500000000,15.829
2458225.500000000,15.803
2458226.500000000,15.776
2458227.500000000,15.750
2458228.500000000,15.723
2458229.500000000,15.697
2458230.500000000,15.670
2458231.500000000,15.643
2458232.500000000,15.617
2458233.500000000,15.590
2458234.500000000,15.563
2458235.500000000,15.537
2458236.500000000,15.510
2458237.500000000,15.484
2458238.500000000,15.458
2458239.500000000,15.432
2458240.500000000,15.407
2458241.500000000,15.382
2458242.500000000,15.358
2458243.500000000,15.334
2458244.500000000,15.311
2458245.500000000,15.290
2458246.500000000,15.269
2458247.500000000,15.251
2458248.500000000,15.234
2458249.500000000,15.220
2458250.500000000,15.208
2458251.500000000,15.199
2458252.500000000,15.193
2458253.500000000,15.190
2458254.500000000,15.190
2458255.500000000,15.193
2458256.500000000,15.199
2458257.500000000,15.206
2458258.500000000,15.216
2458259.500000000,15.227
2458260.500000000,15.239
2458261.500000000,15.253
2458262.500000000,15.268
2458263.500000000,15.283
2458264.500000000,15.299
2458265.500000000,15.316
2458266.500000000,15.333
2458267.500000000,15.350
2458268.500000000,15.368
2458269.500000000,15.386
2458270.500000000,15.404
2458271.500000000,15.422
2458272.500000000,15.441
2458273.500000000,15.459
2458274.500000000,15.478
2458275.500000000,15.496
2458276.500000000,15.515
