JD,Vmag
2458200.000000000,16.43
2458201.000000000,16.41
2458202.000000000,16.39
2458203.000000000,16.36
2458204.000000000,16.34
2458205.000000000,16.32
2458206.000000000,16.29
2458207.000000000,16.27
2458208.000000000,16.25
2458209.000000000,16.22
2458210.000000000,16.20
2458211.000000000,16.17
2458212.000000000,16.15
2458213.000000000,16.12
2458214.000000000,16.10
2458215.000000000,16.07
2458216.000000000,16.05
2458217.000000000,16.02
2458218.000000000,16.00
2458219.000000000,15.97
2458220.000000000,15.95
2458221.000000000,15.92
2458222.000000000,15.89
2458223.000000000,15.87
2458224.000000000,15.84
2458225.000000000,15.82
2458226.000000000,15.79
2458227.000000000,15.76
2458228.000000000,15.74
2458229.000000000,15.71
2458230.000000000,15.68
2458231.000000000,15.66
2458232.000000000,15.63
2458233.000000000,15.60
2458234.000000000,15.58
2458235.000000000,15.55
2458236.000000000,15.52
2458237.000000000,15.50
2458238.000000000,15.47
2458239.000000000,15.45
2458240.000000000,15.42
2458241.000000000,15.39
2458242.000000000,15.37
2458243.000000000,15.35
2458244.000000000,15.32
2458245.000000000,15.30
2458246.000000000,15.28
2458247.000000000,15.26
2458248.000000000,15.24
2458249.000000000,15.23
2458250.000000000,15.21
2458251.000000000,15.20
2458252.000000000,15.20
2458253.000000000,15.19
2458254.000000000,15.19
2458255.000000000,15.19
2458256.000000000,15.20
2458257.000000000,15.20
2458258.000000000,15.21
2458259.000000000,15.22
2458260.000000000,15.23
2458261.000000000,15.25
2458262.000000000,15.26
2458263.000000000,15.28
2458264.000000000,15.29
2458265.000000000,15.31
2458266.000000000,15.32
2458267.000000000,15.34
2458268.000000000,15.36
2458269.000000000,15.38
2458270.000000000,15.40
2458271.000000000,15.41
2458272.000000000,15.43
2458273.000000000,15.45
2458274.000000000,15.47
2458275.000000000,15.49
2458276.000000000,15.51
2458277.000000000,15.52
2458278.000000000,15.54
2458279.000000000,15.56
2458280.000000000,15.58
2458281.000000000,15.60
2458282.000000000,15.62
2458283.000000000,15.64
2458284.000000000,15.66
2458285.000000000,15.67
2458286.000000000,15.69
2458287.000000000,15.71
2458288.000000000,15.73
2458289.000000000,15.75
2458290.000000000,15.77
2458291.000000000,15.78
2458292.000000000,15.80
2458293.000000000,15.82
2458294.000000000,15.84
2458295.000000000,15.86
2458296.000000000,15.87
2458297.000000000,15.89
2458298.000000000,15.91
2458299.000000000,15.93
2458300.000000000,15.94
2458301.000000000,15.96
2458302.000000000,15.98
2458303.000000000,15.99
2458304.000000000,16.01
2458305.000000000,16.03
2458306.000000000,16.04
2458307.000000000,16.06
2458308.000000000,16.07
2458309.000000000,16.09
2458310.000000000,16.11
2458311.000000000,16.12
2458312.000000000,16.14
2458313.000000000,16.15
2458314.000000000,16.17
2458315.000000000,16.18
2458316.000000000,16.20
2458317.000000000,16.21
2458318.000000000,16.22
2458319.000000000,16.24
2458320.000000000,16.25
2458321.000000000,16.27
2458322.000000000,16.28
2458323.000000000,16.29
2458324.000000000,16.31
2458325.000000000,16.32
2458326.000000000,16.33
2458327.000000000,16.34
2458328.000000000,16.36
2458329.000000000,16.37
2458330.000000000,16.38
2458331.000000000,16.39
2458332.000000000,16.40
2458333.000000000,16.41
2458334.000000000,16.42
2458335.000000000,16.44
2458336.000000000,16.45
2458337.000000000,16.46
2458338.000000000,16.47
2458339.000000000,16.48
2458340.000000000,16.49
2458341.000000000,16.50
2458342.000000000,16.51
2458343.000000000,16.52
2458344.000000000,16.53
2458345.000000000,16.53
2458346.000000000,16.54
2458347.000000000,16.55
2458348.000000000,16.56
2458349.000000000,16.57
2458350.000000000,16.58
2458351.000000000,16.59
2458352.000000000,16.59
2458353.000000000,16.60
2458354.000000000,16.61
2458355.000000000,16.62
2458356.000000000,16.62
2458357.000000000,16.63
2458358.000000000,16.64
2458359.000000000,16.64
2458360.000000000,16.65
2458361.000000000,16.66
2458362.000000000,16.66
2458363.000000000,16.67
2458364.000000000,16.67
2458365.000000000,16.68
2458366.000000000,16.68
2458367.000000000,16.69
2458368.000000000,16.69
2458369.000000000,16.70
2458370.000000000,16.70
2458371.000000000,16.71
2458372.000000000,16.71
2458373.000000000,16.72
2458374.000000000,16.72
2458375.000000000,16.73
2458376.000000000,16.73
2458377.000000000,16.73
2458378.000000000,16.74
2458379.000000000,16.74
2458380.000000000,16.74
2458381.000000000,16.75
2458382.000000000,16.75
2458383.000000000,16.75
2458384.000000000,16.75
2458385.000000000,16.76
2458386.000000000,16.76
2458387.000000000,16.76
2458388.000000000,16.76
2458389.000000000,16.77
2458390.000000000,16.77
2458391.000000000,16.77
2458392.000000000,16.77
2458393.000000000,16.77
2458394.000000000,16.77
2458395.000000000,16.77
2458396.000000000,16.78
2458397.000000000,16.78
2458398.000000000,16.78
2458399.000000000,16.78
2458400.000000000,16.78
2458401.000000000,16.78
2458402.000000000,16.78
2458403.000000000,16.78
2458404.000000000,16.78
2458405.000000000,16.78
2458406.000000000,16.78
2458407.000000000,16.78
2458408.000000000,16.78
2458409.000000000,16.78
2458410.000000000,16.78
2458411.000000000,16.77
2458412.000000000,16.77
2458413.000000000,16.77
2458414.000000000,16.77
2458415.000000000,16.77
2458416.000000000,16.77
2458417.000000000,16.77
2458418.000000000,16.76
2458419.000000000,16.76
2458420.000000000,16.76
2458421.000000000,16.76
2458422.000000000,16.76
2458423.000000000,16.75
2458424.000000000,16.75
2458425.000000000,16.75
2458426.000000000,16.75
2458427.000000000,16.74
2458428.000000000,16.74
2458429.000000000,16.74
2458430.000000000,16.74
2458431.000000000,16.73
2458432.000000000,16.73
2458433.000000000,16.73
2458434.000000000,16.72
2458435.000000000,16.72
2458436.000000000,16.71
2458437.000000000,16.71
2458438.000000000,16.71
2458439.000000000,16.70
2458440.000000000,16.70
2458441.000000000,16.69
2458442.000000000,16.69
2458443.000000000,16.69
2458444.000000000,16.68
2458445.000000000,16.68
2458446.000000000,16.67
2458447.000000000,16.67
2458448.000000000,16.66
2458449.000000000,16.66
2458450.000000000,16.65
2458451.000000000,16.65
2458452.000000000,16.64
2458453.000000000,16.64
2458454.000000000,16.63
2458455.000000000,16.62
2458456.000000000,16.62
2458457.000000000,16.61
2458458.000000000,16.61
2458459.000000000,16.60
2458460.000000000,16.59
2458461.000000000,16.59
2458462.000000000,16.58
2458463.000000000,16.57
2458464.000000000,16.57
2458465.000000000,16.56
2458466.000000000,16.55
2458467.000000000,16.55
2458468.000000000,16.54
2458469.000000000,16.53
2458470.000000000,16.53
2458471.000000000,16.52
2458472.000000000,16.51
2458473.000000000,16.50
2458474.000000000,16.50
2458475.000000000,16.49
2458476.000000000,16.48
2458477.000000000,16.47
2458478.000000000,16.46
2458479.000000000,16.45
2458480.000000000,16.45
2458481.000000000,16.44
2458482.000000000,16.43
2458483.000000000,16.42
2458484.000000000,16.41
2458485.000000000,16.40
2458486.000000000,16.39
2458487.000000000,16.38
2458488.000000000,16.37
2458489.000000000,16.37
2458490.000000000,16.36
2458491.000000000,16.35
2458492.000000000,16.34
2458493.000000000,16.33
2458494.000000000,16.32
2458495.000000000,16.31
2458496.000000000,16.29
2458497.000000000,16.28
2458498.000000000,16.27
2458499.000000000,16.26
2458500.000000000,16.25
2458501.000000000,16.24
2458502.000000000,16.23
2458503.000000000,16.22
2458504.000000000,16.20
2458505.000000000,16.19
2458506.000000000,16.18
2458507.000000000,16.17
2458508.000000000,16.15
2458509.000000000,16.14
2458510.000000000,16.13
2458511.000000000,16.11
2458512.000000000,16.10
2458513.000000000,16.09
2458514.000000000,16.07
2458515.000000000,16.06
2458516.000000000,16.04
2458517.000000000,16.02
2458518.000000000,16.01
2458519.000000000,15.99
2458520.000000000,15.97
2458521.000000000,15.96
2458522.000000000,15.94
2458523.000000000,15.92
2458524.000000000,15.90
2458525.000000000,15.88
2458526.000000000,15.86
2458527.000000000,15.86
2458528.000000000,15.86
2458529.000000000,15.87
2458530.000000000,15.88
2458531.000000000,15.90
2458532.000000000,15.91
2458533.000000000,15.93
2458534.000000000,15.94
2458535.000000000,15.96
2458536.000000000,15.97
2458537.000000000,15.98
2458538.000000000,16.00
2458539.000000000,16.01
2458540.000000000,16.02
2458541.000000000,16.03
2458542.000000000,16.04
2458543.000000000,16.05
2458544.000000000,16.06
2458545.000000000,16.07
2458546.000000000,16.08
2458547.000000000,16.09
2458548.000000000,16.10
2458549.000000000,16.11
2458550.000000000,16.12
2458551.000000000,16.12
2458552.000000000,16.13
2458553.000000000,16.14
2458554.000000000,16.15
2458555.000000000,16.16
2458556.000000000,16.16
2458557.000000000,16.17
2458558.000000000,16.18
2458559.000000000,16.19
2458560.000000000,16.19
2458561.000000000,16.20
2458562.000000000,16.21
2458563.000000000,16.21
2458564.000000000,16.22
2458565.000000000,16.22
2458566.000000000,16.23
2458567.000000000,16.24
2458568.000000000,16.24
2458569.000000000,16.25
2458570.000000000,16.25
2458571.000000000,16.26
2458572.000000000,16.27
2458573.000000000,16.27
2458574.000000000,16.28
2458575.000000000,16.28
2458576.000000000,16.29
2458577.000000000,16.29
2458578.000000000,16.30
2458579.000000000,16.30
2458580.000000000,16.31
2458581.000000000,16.31
2458582.000000000,16.32
2458583.000000000,16.32
2458584.000000000,16.33
2458585.000000000,16.33
2458586.000000000,16.33
2458587.000000000,16.34
2458588.000000000,16.34
2458589.000000000,16.35
2458590.000000000,16.35
2458591.000000000,16.35
2458592.000000000,16.36
2458593.000000000,16.36
2458594.000000000,16.37
2458595.000000000,16.37
2458596.000000000,16.37
2458597.000000000,16.38
2458598.000000000,16.38
2458599.000000000,16.38
2458600.000000000,16.39
2458601.000000000,16.39
2458602.000000000,16.39
2458603.000000000,16.40
2458604.000000000,16.40
2458605.000000000,16.40
2458606.000000000,16.41
2458607.000000000,16.41
2458608.000000000,16.41
2458609.000000000,16.42
2458610.000000000,16.42
2458611.000000000,16.42
2458612.000000000,16.42
2458613.000000000,16.43
2458614.000000000,16.43
2458615.000000000,16.43
2458616.000000000,16.43
2458617.000000000,16.44
2458618.000000000,16.44
2458619.000000000,16.44
2458620.000000000,16.44
2458621.000000000,16.45
2458622.000000000,16.45
2458623.000000000,16.45
2458624.000000000,16.45
2458625.000000000,16.45
2458626.000000000,16.46
2458627.000000000,16.46
2458628.000000000,16.46
2458629.000000000,16.46
2458630.000000000,16.46
2458631.000000000,16.46
2458632.000000000,16.47
2458633.000000000,16.47
2458634.000000000,16.47
2458635.000000000,16.47
2458636.000000000,16.47
2458637.000000000,16.47
2458638.000000000,16.47
2458639.000000000,16.47
2458640.000000000,16.48
2458641.000000000,16.48
2458642.000000000,16.48
2458643.000000000,16.48
2458644.000000000,16.48
2458645.000000000,16.48
2458646.000000000,16.48
2458647.000000000,16.48
2458648.000000000,16.48
2458649.000000000,16.48
2458650.000000000,16.48
2458651.000000000,16.48
2458652.000000000,16.48
2458653.000000000,16.48
2458654.000000000,16.48
2458655.000000000,16.48
2458656.000000000,16.48
2458657.000000000,16.48
2458658.000000000,16.48
2458659.000000000,16.48
2458660.000000000,16.48
2458661.000000000,16.48
2458662.000000000,16.48
2458663.000000000,16.48
2458664.000000000,16.48
2458665.000000000,16.48
2458666.000000000,16.48
2458667.000000000,16.48
2458668.000000000,16.48
2458669.000000000,16.48
2458670.000000000,16.47
2458671.000000000,16.47
2458672.000000000,16.47
2458673.000000000,16.47
2458674.000000000,16.47
2458675.000000000,16.47
2458676.000000000,16.47
2458677.000000000,16.46
2458678.000000000,16.46
2458679.000000000,16.46
2458680.000000000,16.46
2458681.000000000,16.46
2458682.000000000,16.45
2458683.000000000,16.45
2458684.000000000,16.45
2458685.000000000,16.45
2458686.000000000,16.45
2458687.000000000,16.44
2458688.000000000,16.44
2458689.000000000,16.44
2458690.000000000,16.43
2458691.000000000,16.43
2458692.000000000,16.43
2458693.000000000,16.42
2458694.000000000,16.42
2458695.000000000,16.42
2458696.000000000,16.41
2458697.000000000,16.41
2458698.000000000,16.41
2458699.000000000,16.40
2458700.000000000,16.40
2458701.000000000,16.39
2458702.000000000,16.39
2458703.000000000,16.39
2458704.000000000,16.38
2458705.000000000,16.38
2458706.000000000,16.37
2458707.000000000,16.37
2458708.000000000,16.36
2458709.000000000,16.36
2458710.000000000,16.35
2458711.000000000,16.35
2458712.000000000,16.34
2458713.000000000,16.34
2458714.000000000,16.33
2458715.000000000,16.32
2458716.000000000,16.32
2458717.000000000,16.31
2458718.000000000,16.31
2458719.000000000,16.30
2458720.000000000,16.29
2458721.000000000,16.29
2458722.000000000,16.28
2458723.000000000,16.27
2458724.000000000,16.26
2458725.000000000,16.26
2458726.000000000,16.25
2458727.000000000,16.24
2458728.000000000,16.23
2458729.000000000,16.23
2458730.000000000,16.22
2458731.000000000,16.21
2458732.000000000,16.20
2458733.000000000,16.19
2458734.000000000,16.18
2458735.000000000,16.17
2458736.000000000,16.17
2458737.000000000,16.16
2458738.000000000,16.15
2458739.000000000,16.14
2458740.000000000,16.13
2458741.000000000,16.12
2458742.000000000,16.11
2458743.000000000,16.10
2458744.000000000,16.09
2458745.000000000,16.07
2458746.000000000,16.06
2458747.000000000,16.05
2458748.000000000,16.04
2458749.000000000,16.03
2458750.000000000,16.02
2458751.000000000,16.01
2458752.000000000,15.99
2458753.000000000,15.98
2458754.000000000,15.97
2458755.000000000,15.96
2458756.000000000,15.94
2458757.000000000,15.93
2458758.000000000,15.92
2458759.000000000,15.90
2458760.000000000,15.89
2458761.000000000,15.87
2458762.000000000,15.86
2458763.000000000,15.85
2458764.000000000,15.83
2458765.000000000,15.82
2458766.000000000,15.80
2458767.000000000,15.79
2458768.000000000,15.77
2458769.000000000,15.76
2458770.000000000,15.74
2458771.000000000,15.72
2458772.000000000,15.71
2458773.000000000,15.69
2458774.000000000,15.68
2458775.000000000,15.66
2458776.000000000,15.64
2458777.000000000,15.63
2458778.000000000,15.61
2458779.000000000,15.59
2458780.000000000,15.57
2458781.000000000,15.55
2458782.000000000,15.54
2458783.000000000,15.52
2458784.000000000,15.50
2458785.000000000,15.48
2458786.000000000,15.46
2458787.000000000,15.44
2458788.000000000,15.43
2458789.000000000,15.41
2458790.000000000,15.39
2458791.000000000,15.37
2458792.000000000,15.35
2458793.000000000,15.33
2458794.000000000,15.31
2458795.000000000,15.29
2458796.000000000,15.27
2458797.000000000,15.25
2458798.000000000,15.23
2458799.000000000,15.21
2458800.000000000,15.19
