ra,dec
109.663521,-24.948238
107.703934,-06.366807
273.270447,-25.029964
258.560211,-21.437147
273.885742,-25.537121
273.059723,-25.401814
272.634857,-25.372976
273.320709,-25.526432
114.508102,-18.558081
281.129211,-14.449526
095.482605,-12.635770
231.586761,-26.535536
279.111389,-14.387988
251.873917,-15.423001
102.800842,-08.506069
270.852631,-19.378981
269.933624,-14.142057
270.341034,-20.133034
270.636810,-20.284492
280.621491,-00.362254
278.412354,-15.332426
274.861694,-26.697864
102.866028,-01.371109
276.335144,-27.513205
275.605957,-27.097029
119.729446,-19.234652
271.668457,-29.729284
110.320602,-16.785801
281.714996,-28.763576
259.292633,-20.721064
268.323914,-19.775726
287.467712,-06.256410
272.369537,-21.571758
272.023193,-20.693447
091.464020,-15.654110
268.610687,-20.403349
101.919891,-21.181818
281.320496,-00.477637
112.227722,-22.717022
272.673035,-07.980332
272.123962,-21.521744
272.800537,-20.492922
264.358795,-22.182324
274.433868,-25.476767
100.678940,-11.656966
273.464722,-20.563345
275.607971,-20.143055
283.810974,-00.239510
268.753449,-15.883055
274.849335,-25.578781
273.332489,-29.605307
275.045715,-19.581499
275.483642,-22.776607
278.948547,-29.833233
104.889877,-11.991330
277.897766,-14.753122
267.632111,-23.662706
274.842377,-22.832127
089.474022,-14.090406
109.161293,-14.015822
075.568604,-25.956999
116.439117,-02.001694
264.663666,-23.325153
274.868805,-18.255371
106.956749,-15.881323
108.604439,-18.912106
106.453239,-16.646526
112.287766,-05.793166
264.728271,-21.834316
270.135406,-21.653936
296.490387,-01.844512
265.215362,-20.968532
115.194687,-26.218500
267.290894,-24.850721
267.769226,-23.494991
281.966583,-22.166977
264.784332,-21.020451
281.087982,-23.352293
117.294594,-18.228060
279.847107,-04.824932
274.411041,-26.084366
269.412415,-29.768064
289.316986,-12.521238
264.582550,-20.608932
268.070282,-18.789791
264.221588,-21.438629
264.020721,-19.364021
275.646912,-03.537006
106.390739,-01.269120
107.384361,-19.827337
273.706879,-17.483673
279.462524,-04.780459
106.562408,-19.074222
268.194122,-17.952719
274.709229,-02.758198
303.365082,-17.033106
267.779663,-24.399256
268.816315,-20.897011
272.196259,-28.117340
271.164795,-22.012001
269.910217,-29.556070
092.995872,-09.049865
273.015350,-28.143400
273.481476,-22.057058
104.135620,-14.386191
287.163635,-03.914332
273.537842,-22.347792
272.806335,-17.305458
279.130249,-20.987536
278.529327,-21.153162
279.227783,-04.876059
269.338379,-29.718767
273.675354,-17.220756
250.863602,-14.199980
077.887436,-01.930414
284.875061,-01.288061
283.892242,-01.948363
101.275505,-08.472084
106.736916,-11.160956
105.672798,-02.583839
285.039337,-02.049434
279.290710,-04.672566
