oid,mjd,mag,magerr,catflags,filtercode,ra,dec
567107300011904,58227.1735648,19.1669922,0.0618475303,0,zg,122.7891088,17.4914366
567107300011904,58233.2272685,19.0514183,0.0567193851,0,zg,122.7891222,17.4913787
567107300011904,58236.1548727,19.0494671,0.0566367358,0,zg,122.7891399,17.4913863
567107300011904,58236.2068403,18.9591331,0.0529486127,0,zg,122.7891474,17.4913614
567107300011904,58244.2075463,19.2801476,0.0673322305,0,zg,122.7891557,17.4913386
567107300011904,58247.1736574,19.3113899,0.0689310655,0,zg,122.7891328,17.4913717
567107300011904,58378.494294,19.4334869,0.0755446777,0,zg,122.7891655,17.4914102
567107300011904,58385.4934838,19.2217808,0.0644441471,0,zg,122.7890637,17.491296
567107300011904,58388.4763194,19.3142033,0.0690768883,0,zg,122.7891415,17.4913692
567107300011904,58425.5067014,19.2535076,0.0659982041,0,zg,122.7891015,17.4913479
567107300011904,58427.4094444,19.3280468,0.0697988346,0,zg,122.7891112,17.491335
567107300011904,58430.3825463,19.2401142,0.0653375909,0,zg,122.7891174,17.4913683
567107300011904,58431.4755324,19.3198433,0.0693701059,0,zg,122.7892174,17.4914499
567107300011904,58434.4320139,19.3353329,0.0701817945,0,zg,122.7892745,17.4913958
567107300011904,58437.4705324,19.3520927,0.0710705221,0,zg,122.7891748,17.4913554
567107300011904,58438.458044,19.3335285,0.07008674,0,zg,122.7891211,17.4913911
567107300011904,58439.4500579,19.3059387,0.0686493888,0,zg,122.7891286,17.49138
567107300011904,58443.5026852,19.2401962,0.0653416291,0,zg,122.7891779,17.4913905
567107300011904,58461.4506829,19.3557873,0.0712678954,32768,zg,122.7891098,17.4913727
567107300011904,58472.4950694,19.4308186,0.0753937587,0,zg,122.7890935,17.4913246
567107300011904,58475.5138657,19.2962761,0.0681529716,0,zg,122.7892229,17.4914016
567107300011904,58480.4747801,19.4760876,0.0779926777,0,zg,122.7891044,17.4912212
567107300011904,58486.4227315,19.3946266,0.0733756199,0,zg,122.7891616,17.4914835
567107300011904,58493.2454977,19.2985191,0.068267867,0,zg,122.7891155,17.4912982
567107300011904,58509.2357639,19.4914894,0.078896001,0,zg,122.7891759,17.4914828
567107300011904,58547.2897685,19.4405804,0.0759471431,0,zg,122.7891472,17.4913512
567107300011904,58556.270787,19.3031979,0.0685082227,0,zg,122.7891073,17.491398
567107300011904,58561.2311458,19.2554436,0.0660942495,0,zg,122.7890061,17.4914133
567107300011904,58567.1705671,19.4641895,0.0773015097,32768,zg,122.7891557,17.4914027
567107300011904,58569.1445255,19.4298096,0.075336799,32768,zg,122.7891195,17.4913859
567107300011904,58569.3122222,19.4028282,0.073828347,32768,zg,122.789163,17.491406
567107300011904,58572.1916204,19.1451283,0.0608415529,32768,zg,122.7891441,17.4913845
567107300011904,58575.2044329,19.2496033,0.0658049434,32768,zg,122.7891247,17.4913866
567107300011904,58581.1696875,19.5006599,0.0794384554,0,zg,122.7891799,17.4912983
567107300011904,58584.2113426,19.4316101,0.0754384845,0,zg,122.7892139,17.4914012
567107300011904,58588.1703819,19.5970993,0.085355781,0,zg,122.7891301,17.4913793
567107300011904,58591.1493634,19.3361244,0.0702235103,0,zg,122.7891422,17.4913594
567107300011904,58594.1934606,19.5613937,0.0831195191,0,zg,122.7891001,17.4913651
567107300011904,58598.1923727,19.530344,0.0812183693,0,zg,122.789175,17.4914071
567107300011904,58606.1667361,19.6253395,0.0871626437,0,zg,122.7890883,17.4913858
567107300011904,58609.1843866,19.6908054,0.0914820954,0,zg,122.7890868,17.4913787
567107300011904,58737.5046991,19.3205757,0.0694083124,0,zg,122.7891413,17.491395
567107300011904,58748.5155324,19.3903198,0.0731389299,0,zg,122.7891377,17.4913069
567107300011904,58756.4694907,19.4071159,0.0740661174,0,zg,122.7890408,17.4913996
