oid,mjd,mag,magerr,catflags,filtercode,ra,dec
416312100007453,59189.5236574,20.2894783,0.180979118,0,zi,140.1292833,-1.5480309
416312100007453,59218.5048495,20.0293312,0.16680789,0,zi,140.1290224,-1.5480416
416312100007453,59224.3775116,20.0465508,0.168004245,0,zi,140.1286996,-1.5479756
416312100007453,59230.3774653,20.2103844,0.17773816,0,zi,140.1291764,-1.5481118
416312100007453,59248.3472454,20.6076736,0.188135147,0,zi,140.1290139,-1.5480139
416312100007453,59251.3877083,20.1947441,0.176966041,0,zi,140.1289944,-1.5483613
416312100007453,59254.3401736,20.5266991,0.183546543,0,zi,140.1291042,-1.5480264
416312100007453,59280.33125,20.3390465,0.182353079,0,zi,140.1290536,-1.5480197
416312100007453,59291.2543171,20.3123322,0.181682199,0,zi,140.1290805,-1.5480858
416312100007453,59307.1903819,20.1699333,0.175663263,0,zi,140.1291198,-1.5481299
416312100007453,59310.2745486,20.2886887,0.180952817,0,zi,140.1292326,-1.5481142
416312100007453,59316.2325463,20.1321182,0.173509464,0,zi,140.1291378,-1.5481027
