oid,mjd,mag,magerr,catflags,filtercode,ra,dec
722314100005916,58227.3919792,19.5111504,0.094094865,0,zi,245.5280748,43.7768541
722314100005916,58232.34125,19.5937805,0.100093246,0,zi,245.5281844,43.7768692
722314100005916,58249.327037,19.393486,0.0861085504,32768,zi,245.5276794,43.7769054
722314100005916,58254.3870023,19.4686546,0.0911358744,0,zi,245.5281181,43.77688
722314100005916,58263.3381366,19.5690289,0.09826231,0,zi,245.5281352,43.7768919
722314100005916,58267.2472685,19.5325966,0.09562058,0,zi,245.5280974,43.7768672
722314100005916,58272.3617477,19.5800877,0.0990767404,0,zi,245.5281027,43.776809
722314100005916,58277.2973611,19.4615517,0.0906496048,0,zi,245.5281371,43.776869
722314100005916,58281.2989583,19.3288136,0.0819910914,0,zi,245.5280943,43.7768701
722314100005916,58285.4756134,19.6340694,0.103135869,0,zi,245.5281232,43.7767729
722314100005916,58289.3543056,19.5036221,0.093564488,0,zi,245.5281285,43.7768598
722314100005916,58302.1807176,19.1019096,0.0690003261,32768,zi,245.5281084,43.7769701
722314100005916,58312.1859375,19.3122253,0.0809654593,0,zi,245.5281785,43.7768525
722314100005916,58320.2453704,19.4889297,0.0925370306,0,zi,245.5281046,43.7768616
722314100005916,58325.3078472,19.3153419,0.0811571926,0,zi,245.5281924,43.7768351
722314100005916,58331.3230093,19.4548244,0.0901912227,0,zi,245.5280938,43.7769078
722314100005916,58336.1615972,19.4099407,0.0871867165,0,zi,245.5281292,43.7768791
722314100005916,58340.1579745,19.5037212,0.0935714319,0,zi,245.5281636,43.7768222
722314100005916,58344.3238426,19.5629158,0.0978146419,0,zi,245.5282446,43.7768419
722314100005916,58348.1815278,19.3366814,0.082481876,0,zi,245.5280903,43.7769067
722314100005916,58362.2803588,19.5349789,0.0957913697,0,zi,245.5281141,43.7768824
722314100005916,58366.283588,19.2585526,0.0777307823,0,zi,245.5281804,43.7769553
722314100005916,58379.1408796,19.6711159,0.106002137,0,zi,245.5282958,43.7769116
722314100005916,58547.4537153,19.4207687,0.0879029706,0,zi,245.5281462,43.7768599
722314100005916,58556.5296065,19.3369312,0.0824975371,0,zi,245.5281384,43.7769062
722314100005916,58561.4560417,19.7570267,0.112900421,0,zi,245.5281338,43.776857
722314100005916,58568.4707755,19.5131721,0.0942377672,0,zi,245.5280745,43.7768234
722314100005916,58586.5117477,19.4518433,0.0899887383,0,zi,245.5281024,43.7768891
722314100005916,58596.3712731,19.4860592,0.0923374817,0,zi,245.5281056,43.7768805
722314100005916,58605.4693403,19.5915794,0.0999292061,0,zi,245.5281716,43.776874
722314100005916,58612.4923495,19.3872814,0.0857053027,0,zi,245.528118,43.776896
722314100005916,58616.3501042,19.3962593,0.0862894207,0,zi,245.5280113,43.7769005
722314100005916,58627.4392477,19.1904907,0.0738098249,0,zi,245.5281588,43.7768594
722314100005916,58633.2788889,19.3769646,0.0850385725,0,zi,245.5281505,43.7768866
722314100005916,58637.2816319,19.3555984,0.0836733356,0,zi,245.5282106,43.7768556
722314100005916,58641.2637963,19.3513584,0.0834048837,0,zi,245.5281119,43.7768452
722314100005916,58645.2590856,19.5571861,0.0973966867,0,zi,245.5281663,43.7768847
722314100005916,58649.3209722,19.4433823,0.08941634,0,zi,245.5280664,43.7768475
722314100005916,58657.1830208,19.5681419,0.0981972665,0,zi,245.5281465,43.7768725
722314100005916,58661.1833218,19.6082878,0.101179875,0,zi,245.5280651,43.7768991
722314100005916,58665.1830787,19.2896461,0.0795891359,0,zi,245.5281551,43.7768084
722314100005916,58669.3066667,19.4524536,0.0900301561,0,zi,245.5281781,43.776861
722314100005916,58674.1756829,19.4158669,0.0875780433,0,zi,245.5282216,43.7768843
722314100005916,58678.1710069,19.4312019,0.0885982662,0,zi,245.5281897,43.7768697
722314100005916,58691.3491435,19.4462547,0.0896103084,0,zi,245.5281228,43.7768616
722314100005916,58700.163831,19.639843,0.103578322,0,zi,245.5281088,43.7768479
722314100005916,58706.1593634,19.5405464,0.0961916745,0,zi,245.5280825,43.7768755
722314100005916,58710.2400579,19.4435158,0.0894253552,0,zi,245.528213,43.776847
722314100005916,58719.1496875,19.2634449,0.078020364,0,zi,245.5280923,43.7768961
722314100005916,58725.2256829,19.2751198,0.0787156895,0,zi,245.5281955,43.7768309
722314100005916,58733.1308796,19.3889427,0.0858130679,0,zi,245.5281248,43.7768634
