# t   x    y    z   vx   vy   vz
0.00 -378.00 611.00 -285.00 73.00 -72.00 50.00
0.07 -372.00 606.00 -281.00 74.00 -77.00 55.00
0.14 -367.00 601.00 -277.00 72.00 -75.00 51.00
0.21 -362.00 595.00 -274.00 72.00 -77.00 52.00
0.29 -356.00 590.00 -270.00 71.00 -80.00 51.00
0.36 -351.00 584.00 -267.00 72.00 -83.00 50.00
0.43 -346.00 578.00 -264.00 69.00 -83.00 47.00
0.50 -341.00 572.00 -260.00 65.00 -83.00 45.00
0.57 -337.00 566.00 -257.00 65.00 -82.00 43.00
0.64 -332.00 560.00 -254.00 65.00 -85.00 45.00
0.71 -328.00 554.00 -250.00 56.00 -81.00 44.00
0.79 -324.00 549.00 -247.00 53.00 -80.00 42.00
0.86 -320.00 543.00 -244.00 46.00 -76.00 42.00
0.93 -317.00 538.00 -242.00 48.00 -73.00 38.00
1.00 -314.00 533.00 -238.00 45.00 -68.00 42.00
1.07 -310.00 528.00 -235.00 42.00 -66.00 49.00
1.14 -307.00 523.00 -232.00 47.00 -63.00 49.00
1.21 -304.00 519.00 -228.00 50.00 -63.00 53.00
1.29 -300.00 514.00 -224.00 48.00 -62.00 60.00
1.36 -297.00 510.00 -220.00 54.00 -61.00 58.00
1.43 -293.00 505.00 -216.00 56.00 -63.00 63.00
1.50 -289.00 501.00 -211.00 59.00 -63.00 62.00
1.57 -285.00 496.00 -206.00 58.00 -62.00 63.00
1.64 -280.00 492.00 -202.00 65.00 -66.00 66.00
1.71 -276.00 487.00 -197.00 70.00 -67.00 66.00
1.79 -271.00 482.00 -192.00 73.00 -68.00 67.00
1.86 -265.00 477.00 -187.00 75.00 -72.00 71.00
1.93 -260.00 472.00 -182.00 77.00 -71.00 71.00
2.00 -254.00 467.00 -177.00 78.00 -74.00 73.00
2.07 -249.00 462.00 -172.00 82.00 -77.00 71.00
2.14 -243.00 456.00 -167.00 84.00 -81.00 74.00
2.21 -237.00 450.00 -162.00 86.00 -82.00 72.00
2.29 -230.00 444.00 -156.00 87.00 -83.00 73.00
2.36 -224.00 438.00 -151.00 92.00 -88.00 72.00
2.43 -218.00 432.00 -146.00 91.00 -91.00 70.00
2.50 -211.00 425.00 -140.00 90.00 -94.00 74.00
2.57 -205.00 418.00 -135.00 92.00 -96.00 73.00
2.64 -198.00 411.00 -130.00 92.00 -97.00 74.00
2.71 -191.00 404.00 -124.00 91.00 -99.00 75.00
2.79 -185.00 397.00 -119.00 94.00 -101.00 76.00
2.86 -178.00 390.00 -114.00 99.00 -105.00 76.00
2.93 -171.00 382.00 -108.00 96.00 -106.00 77.00
3.00 -164.00 374.00 -102.00 96.00 -110.00 79.00
3.07 -157.00 366.00 -96.00 97.00 -112.00 82.00
3.14 -149.00 357.00 -90.00 99.00 -119.00 85.00
3.21 -142.00 349.00 -84.00 102.00 -121.00 83.00
3.29 -134.00 340.00 -78.00 107.00 -131.00 88.00
3.36 -127.00 330.00 -72.00 111.00 -136.00 89.00
3.43 -119.00 320.00 -65.00 112.00 -144.00 88.00
3.50 -111.00 310.00 -59.00 119.00 -157.00 85.00
3.57 -102.00 298.00 -53.00 117.00 -170.00 90.00
3.64 -93.00 285.00 -47.00 122.00 -184.00 89.00
3.71 -84.00 272.00 -41.00 125.00 -201.00 83.00
3.79 -75.00 256.00 -36.00 126.00 -230.00 73.00
3.86 -66.00 239.00 -31.00 123.00 -261.00 55.00
3.93 -58.00 219.00 -28.00 95.00 -300.00 15.00
4.00 -54.00 198.00 -29.00 41.00 -283.00 -55.00
4.07 -52.00 180.00 -34.00 15.00 -230.00 -71.00
4.14 -51.00 165.00 -39.00 18.00 -185.00 -60.00
4.21 -50.00 152.00 -43.00 23.00 -158.00 -42.00
4.29 -48.00 142.00 -45.00 23.00 -136.00 -24.00
4.36 -47.00 133.00 -47.00 23.00 -115.00 -14.00
4.43 -45.00 125.00 -47.00 17.00 -99.00 -3.00
4.50 -44.00 119.00 -47.00 19.00 -82.00 1.00
4.57 -43.00 113.00 -47.00 15.00 -66.00 5.00
4.64 -42.00 109.00 -47.00 16.00 -55.00 9.00
4.71 -41.00 105.00 -46.00 14.00 -44.00 14.00
4.79 -40.00 103.00 -45.00 13.00 -32.00 14.00
4.86 -39.00 101.00 -44.00 17.00 -22.00 16.00
4.93 -38.00 100.00 -43.00 18.00 -11.00 16.00
5.00 -36.00 99.00 -42.00 20.00 -5.00 22.00
5.07 -35.00 99.00 -40.00 19.00 6.00 24.00
5.14 -33.00 100.00 -38.00 22.00 14.00 28.00
5.21 -31.00 101.00 -36.00 26.00 19.00 34.00
5.29 -29.00 103.00 -34.00 27.00 28.00 39.00
5.36 -27.00 106.00 -31.00 31.00 37.00 42.00
5.43 -25.00 109.00 -28.00 35.00 48.00 46.00
5.50 -22.00 112.00 -25.00 38.00 55.00 53.00
5.57 -20.00 117.00 -21.00 45.00 71.00 58.00
5.64 -17.00 123.00 -16.00 49.00 88.00 67.00
5.71 -13.00 130.00 -11.00 61.00 111.00 80.00
5.79 -8.00 139.00 -5.00 81.00 147.00 100.00
5.86 -1.00 151.00 3.00 199.00 149.00 133.00
5.93 11.00 157.00 9.00 123.00 19.00 66.00
6.00 18.00 158.00 12.00 52.00 -7.00 40.00
6.07 22.00 156.00 14.00 8.00 -21.00 22.00
6.14 24.00 153.00 15.00 -14.00 -51.00 9.00
6.21 24.00 147.00 16.00 -52.00 -116.00 -22.00
6.29 25.00 141.00 16.00 56.00 1.00 52.00
6.36 27.00 140.00 18.00 36.00 -8.00 49.00
6.43 30.00 138.00 20.00 29.00 -28.00 43.00
6.50 30.00 136.00 21.00 38.00 -36.00 36.00
6.57 33.00 134.00 24.00 38.00 -26.00 50.00
6.64 35.00 133.00 27.00 42.00 -27.00 44.00
6.71 36.00 131.00 29.00 44.00 -27.00 40.00
6.79 39.00 130.00 31.00 40.00 -35.00 28.00
6.86 42.00 128.00 34.00 40.00 -32.00 27.00
6.93 45.00 126.00 36.00 39.00 -34.00 27.00
7.00 47.00 123.00 38.00 42.00 -34.00 27.00
7.07 49.00 121.00 40.00 35.00 -35.00 14.00
7.14 52.00 118.00 42.00 35.00 -31.00 15.00
7.21 54.00 116.00 44.00 33.00 -27.00 14.00
7.29 57.00 114.00 45.00 35.00 -30.00 15.00
7.36 60.00 112.00 47.00 36.00 -25.00 20.00
7.43 62.00 111.00 48.00 35.00 -23.00 19.00
7.50 65.00 109.00 50.00 37.00 -23.00 23.00
7.57 67.00 108.00 52.00 35.00 -22.00 23.00
7.64 70.00 106.00 53.00 35.00 -21.00 21.00
7.71 73.00 105.00 55.00 31.00 -19.00 21.00
7.79 75.00 103.00 56.00 33.00 -16.00 20.00
7.86 78.00 102.00 57.00 33.00 -19.00 20.00
7.93 81.00 100.00 59.00 33.00 -21.00 18.00
8.00 83.00 99.00 61.00 34.00 -18.00 21.00
8.07 86.00 98.00 62.00 35.00 -19.00 22.00
8.14 88.00 97.00 64.00 34.00 -17.00 24.00
8.21 90.00 95.00 66.00 35.00 -16.00 26.00
8.29 93.00 94.00 68.00 36.00 -21.00 32.00
8.36 95.00 93.00 70.00 37.00 -21.00 35.00
8.43 97.00 91.00 72.00 38.00 -24.00 32.00
8.50 100.00 89.00 74.00 35.00 -29.00 33.00
8.57 102.00 87.00 76.00 36.00 -29.00 30.00
8.64 105.00 85.00 78.00 34.00 -34.00 24.00
8.71 108.00 83.00 80.00 29.00 -32.00 26.00
8.79 110.00 81.00 82.00 33.00 -28.00 24.00
8.86 112.00 79.00 84.00 32.00 -29.00 21.00
8.93 114.00 77.00 85.00 32.00 -28.00 22.00
9.00 116.00 75.00 87.00 32.00 -26.00 20.00
9.07 118.00 73.00 89.00 29.00 -24.00 21.00
9.14 121.00 71.00 90.00 31.00 -26.00 22.00
9.21 123.00 69.00 92.00 29.00 -25.00 20.00
9.29 124.00 67.00 93.00 32.00 -26.00 19.00
9.36 126.00 65.00 95.00 31.00 -26.00 22.00
9.43 128.00 64.00 96.00 27.00 -25.00 21.00
9.50 130.00 62.00 97.00 25.00 -21.00 20.00
9.57 132.00 61.00 99.00 25.00 -14.00 22.00
9.64 134.00 60.00 100.00 30.00 -14.00 22.00
9.71 137.00 59.00 102.00 32.00 -13.00 24.00
9.79 139.00 58.00 104.00 33.00 -15.00 25.00
9.86 142.00 57.00 106.00 34.00 -19.00 26.00
9.93 144.00 56.00 108.00 33.00 -21.00 30.00
10.00 146.00 55.00 111.00 36.00 -20.00 31.00
10.07 149.00 53.00 113.00 33.00 -19.00 33.00
10.14 151.00 52.00 115.00 31.00 -18.00 33.00
10.21 154.00 51.00 117.00 34.00 -19.00 30.00
10.29 157.00 49.00 119.00 34.00 -20.00 30.00
10.36 160.00 48.00 121.00 36.00 -21.00 28.00
10.43 162.00 46.00 123.00 35.00 -25.00 28.00
10.50 165.00 44.00 126.00 33.00 -31.00 26.00
10.57 167.00 42.00 128.00 32.00 -30.00 20.00
10.64 169.00 40.00 129.00 29.00 -30.00 19.00
10.71 171.00 38.00 131.00 31.00 -26.00 17.00
10.79 173.00 36.00 132.00 27.00 -22.00 20.00
10.86 175.00 35.00 134.00 28.00 -18.00 19.00
10.93 176.00 33.00 135.00 28.00 -17.00 21.00
11.00 178.00 32.00 136.00 31.00 -16.00 24.00
11.07 180.00 30.00 138.00 32.00 -16.00 27.00
11.14 182.00 29.00 139.00 30.00 -20.00 28.00
11.21 184.00 27.00 141.00 29.00 -18.00 30.00
11.29 186.00 26.00 142.00 29.00 -18.00 27.00
11.36 188.00 25.00 144.00 30.00 -20.00 28.00
11.43 191.00 24.00 146.00 32.00 -23.00 27.00
