5498.9341 19.152  0.011
5479.9837 19.670  0.018
5487.9483 19.967  0.022
5430.1112 19.170  0.010
5511.7780 19.706  0.022
5534.7293 19.320  0.010
5557.7190 19.069  0.013
5480.8407 19.683  0.027
5447.9399 19.584  0.013
5523.8695 19.037  0.015
5424.1165 19.923  0.015
5483.9664 19.834  0.017
5433.0793 19.013  0.013
5412.1105 19.441  0.017
5446.0909 19.533  0.013
5467.8638 19.191  0.016
5472.9942 19.334  0.011
5406.9753 19.268  0.033
5428.1151 19.789  0.014
5442.1079 19.338  0.011
5769.1097 19.700  0.018
5413.9781 19.512  0.015
5468.0069 19.153  0.016
5456.0372 19.959  0.016
5452.0541 19.781  0.017
5477.8633 19.635  0.017
5448.0714 19.629  0.013
5510.9084 19.668  0.015
5443.0942 19.401  0.013
5514.7648 19.958  0.038
5437.1041 19.125  0.016
5423.9887 20.064  0.027
5457.8926 20.024  0.031
5431.0913 18.983  0.008
5475.8530 19.491  0.019
5445.9533 19.496  0.012
5516.8752 19.907  0.018
5424.9874 19.983  0.022
5432.9654 19.028  0.015
5455.0323 19.935  0.020
5523.7368 19.046  0.011
5480.9583 19.696  0.017
5535.8516 19.357  0.013
5489.8217 19.792  0.048
5496.8090 19.140  0.031
5503.7734 19.399  0.019
5783.1099 19.414  0.015
5405.0844 19.141  0.012
5404.9624 19.127  0.054
5447.0839 19.559  0.012
5780.1134 19.278  0.011
5426.1087 19.980  0.018
5784.1160 19.421  0.017
5441.9878 19.333  0.010
5442.9783 19.362  0.010
5436.0978 19.106  0.013
5428.9720 19.582  0.027
5555.7277 18.960  0.022
5402.9732 19.083  0.025
5425.9899 19.994  0.023
5439.9582 19.253  0.011
5445.0724 19.482  0.012
5476.9795 19.499  0.011
5516.7410 20.000  0.042
5777.9698 19.183  0.012
5487.8225 20.044  0.065
5468.8676 19.179  0.017
5466.8720 19.169  0.020
5477.9860 19.571  0.014
5768.1061 19.895  0.021
5502.9144 19.292  0.010
5411.1226 19.370  0.027
5503.9004 19.344  0.012
5500.8129 19.279  0.012
5411.9846 19.416  0.022
5534.8595 19.347  0.013
5510.7729 19.664  0.019
5499.8060 19.198  0.016
5444.9521 19.447  0.011
5405.9654 19.195  0.017
5410.0991 19.371  0.020
5458.0287 19.941  0.020
5453.0590 19.860  0.018
5484.9650 19.879  0.017
5434.9843 19.079  0.011
5426.9830 20.016  0.024
5446.9448 19.536  0.013
5403.1014 19.127  0.015
5467.0039 19.155  0.014
5448.9193 19.722  0.022
5454.0321 19.850  0.027
5502.7751 19.307  0.015
5501.7731 19.292  0.014
5507.7854 19.515  0.015
5530.7130 19.259  0.027
5475.9897 19.495  0.013
5478.9907 19.584  0.013
5402.0892 19.061  0.025
5555.8338 19.024  0.015
5452.9247 19.850  0.017
5774.0273 19.041  0.011
5427.9737 19.914  0.036
5776.0556 19.129  0.010
5401.9579 19.082  0.032
5778.1074 19.211  0.010
5408.1159 19.260  0.014
5518.8860 19.965  0.023
5423.1167 19.899  0.021
5479.8426 19.706  0.024
5449.9306 19.657  0.024
5463.8796 19.053  0.017
5451.9142 19.875  0.028
5409.1045 19.320  0.015
5464.0230 18.997  0.012
5450.0635 19.683  0.020
5501.9283 19.264  0.010
5441.1188 19.281  0.011
5530.8572 19.192  0.014
5498.8061 19.168  0.012
5483.8277 19.872  0.026
5511.9026 19.680  0.014
5413.1116 19.481  0.012
5521.7240 19.609  0.033
5784.9850 19.465  0.018
5409.9817 19.329  0.014
5429.0983 19.513  0.013
5457.0490 19.979  0.019
5481.8428 19.744  0.022
5783.9692 19.413  0.016
5435.1263 19.089  0.015
5472.8667 19.408  0.019
5535.7260 19.381  0.013
5407.0987 19.275  0.014
5557.8279 19.077  0.011
5431.9945 19.026  0.020
5422.9746 19.932  0.029
5507.9105 19.511  0.011
5483.0110 19.770  0.016
5455.9062 19.980  0.024
5456.9128 20.025  0.023
5427.1148 19.958  0.018
5775.0476 19.117  0.009
5440.0834 19.269  0.012
5433.9533 19.072  0.020
5508.8992 19.565  0.013
5500.9391 19.227  0.010
5508.7786 19.555  0.017
5429.9838 19.222  0.020
5518.7528 20.006  0.037
5411.0037 19.404  0.018
5476.8513 19.523  0.014
5430.9789 19.076  0.012
5453.9200 19.946  0.022
5412.9853 19.495  0.015
5770.0970 19.380  0.010
5449.0424 19.694  0.019
5785.0900 19.497  0.017
5454.9131 19.939  0.022
5779.9768 19.283  0.012
5481.9551 19.765  0.026
5407.9932 19.277  0.020
5777.1051 19.168  0.009
5434.0859 19.064  0.013
5440.9812 19.285  0.010
5425.1168 19.971  0.021
5771.0864 19.114  0.013
5484.8383 19.849  0.017
5436.9807 19.144  0.014
5450.9161 19.824  0.031
5435.9753 19.126  0.013
5782.9838 19.409  0.026
5406.0908 19.198  0.012
5499.9322 19.201  0.010
5478.8459 19.670  0.019
5443.9521 19.404  0.010
5785.9825 19.518  0.023
5785.9825 19.518  0.023
