# t   x    y    z   vx   vy   vz
0.00 -476.00 491.00 -412.00 45.00 102.00 142.00
0.07 -473.00 499.00 -402.00 48.00 106.00 147.00
0.14 -469.00 507.00 -391.00 59.00 111.00 151.00
0.21 -465.00 515.00 -380.00 63.00 117.00 160.00
0.29 -460.00 523.00 -368.00 72.00 124.00 171.00
0.36 -455.00 533.00 -356.00 81.00 129.00 183.00
0.43 -448.00 542.00 -342.00 96.00 134.00 191.00
0.50 -441.00 551.00 -329.00 108.00 135.00 203.00
0.57 -432.00 561.00 -314.00 130.00 137.00 211.00
0.64 -422.00 571.00 -298.00 154.00 134.00 223.00
0.71 -410.00 580.00 -282.00 178.00 127.00 235.00
0.79 -397.00 589.00 -265.00 205.00 114.00 243.00
0.86 -381.00 596.00 -247.00 236.00 93.00 248.00
0.93 -363.00 602.00 -229.00 263.00 60.00 245.00
1.00 -343.00 605.00 -212.00 280.00 32.00 237.00
1.07 -323.00 606.00 -196.00 288.00 2.00 220.00
1.14 -303.00 606.00 -180.00 287.00 -25.00 204.00
1.21 -282.00 603.00 -166.00 281.00 -53.00 187.00
1.29 -263.00 598.00 -154.00 271.00 -69.00 176.00
1.36 -243.00 593.00 -141.00 263.00 -81.00 164.00
1.43 -225.00 587.00 -130.00 257.00 -96.00 150.00
1.50 -207.00 579.00 -120.00 245.00 -108.00 139.00
1.57 -190.00 571.00 -110.00 237.00 -116.00 130.00
1.64 -173.00 563.00 -101.00 227.00 -123.00 120.00
1.71 -157.00 554.00 -93.00 218.00 -131.00 112.00
1.79 -142.00 544.00 -85.00 208.00 -136.00 105.00
1.86 -128.00 534.00 -78.00 199.00 -142.00 98.00
1.93 -114.00 524.00 -71.00 191.00 -148.00 90.00
2.00 -100.00 513.00 -65.00 183.00 -155.00 84.00
2.07 -88.00 502.00 -59.00 171.00 -158.00 80.00
2.14 -76.00 491.00 -54.00 168.00 -157.00 73.00
2.21 -64.00 479.00 -49.00 157.00 -161.00 68.00
2.29 -53.00 468.00 -44.00 150.00 -165.00 63.00
2.36 -42.00 456.00 -40.00 144.00 -170.00 58.00
2.43 -32.00 443.00 -36.00 135.00 -171.00 56.00
2.50 -23.00 431.00 -32.00 124.00 -176.00 52.00
2.57 -14.00 418.00 -28.00 116.00 -179.00 47.00
2.64 -6.00 405.00 -25.00 111.00 -186.00 44.00
2.71 1.00 392.00 -22.00 103.00 -187.00 38.00
2.79 9.00 379.00 -19.00 98.00 -190.00 33.00
2.86 15.00 365.00 -17.00 89.00 -196.00 30.00
2.93 21.00 351.00 -15.00 77.00 -200.00 25.00
3.00 26.00 336.00 -13.00 69.00 -203.00 22.00
3.07 31.00 322.00 -12.00 58.00 -208.00 19.00
3.14 35.00 307.00 -11.00 48.00 -214.00 15.00
3.21 37.00 291.00 -10.00 37.00 -218.00 9.00
3.29 40.00 275.00 -9.00 21.00 -223.00 3.00
3.36 40.00 259.00 -9.00 5.00 -228.00 -1.00
3.43 40.00 243.00 -10.00 -13.00 -232.00 -7.00
3.50 38.00 226.00 -10.00 -32.00 -239.00 -14.00
3.57 36.00 209.00 -11.00 -54.00 -245.00 -21.00
3.64 31.00 191.00 -13.00 -80.00 -246.00 -32.00
3.71 24.00 174.00 -16.00 -114.00 -243.00 -44.00
3.79 14.00 157.00 -20.00 -152.00 -232.00 -57.00
3.86 2.00 141.00 -24.00 -188.00 -210.00 -72.00
3.93 -12.00 127.00 -30.00 -220.00 -179.00 -81.00
4.00 -29.00 116.00 -36.00 -246.00 -129.00 -86.00
4.07 -47.00 108.00 -42.00 -260.00 -70.00 -79.00
4.14 -65.00 106.00 -47.00 -251.00 -2.00 -67.00
4.21 -82.00 108.00 -51.00 -219.00 69.00 -47.00
4.29 -96.00 115.00 -54.00 -166.00 124.00 -29.00
4.36 -106.00 125.00 -55.00 -105.00 155.00 -10.00
4.43 -111.00 137.00 -55.00 -47.00 169.00 7.00
4.50 -113.00 149.00 -54.00 1.00 170.00 16.00
4.57 -111.00 161.00 -53.00 39.00 165.00 26.00
4.64 -107.00 173.00 -51.00 72.00 160.00 31.00
4.71 -101.00 184.00 -48.00 101.00 154.00 39.00
4.79 -93.00 194.00 -45.00 125.00 146.00 50.00
4.86 -83.00 205.00 -41.00 149.00 138.00 60.00
4.93 -72.00 214.00 -36.00 167.00 130.00 72.00
5.00 -59.00 223.00 -31.00 183.00 123.00 86.00
5.07 -45.00 232.00 -24.00 206.00 121.00 106.00
5.14 -30.00 240.00 -15.00 230.00 113.00 145.00
5.21 -12.00 248.00 -3.00 255.00 86.00 213.00
5.29 5.00 251.00 15.00 232.00 -6.00 277.00
5.36 20.00 247.00 35.00 180.00 -81.00 260.00
5.43 31.00 240.00 52.00 142.00 -113.00 221.00
5.50 41.00 232.00 66.00 118.00 -132.00 184.00
5.57 48.00 222.00 78.00 94.00 -143.00 157.00
5.64 55.00 211.00 89.00 78.00 -150.00 129.00
5.71 59.00 200.00 97.00 63.00 -158.00 105.00
5.79 63.00 189.00 103.00 51.00 -162.00 82.00
5.86 67.00 177.00 109.00 34.00 -167.00 58.00
5.93 69.00 165.00 112.00 20.00 -168.00 37.00
6.00 70.00 153.00 114.00 7.00 -169.00 12.00
6.07 70.00 141.00 114.00 -4.00 -166.00 -11.00
6.14 69.00 130.00 112.00 -19.00 -161.00 -36.00
6.21 67.00 118.00 108.00 -32.00 -155.00 -66.00
6.29 64.00 108.00 102.00 -47.00 -142.00 -98.00
6.36 60.00 98.00 94.00 -64.00 -126.00 -130.00
6.43 55.00 90.00 84.00 -77.00 -103.00 -162.00
6.50 49.00 84.00 71.00 -89.00 -72.00 -198.00
6.57 42.00 80.00 56.00 -102.00 -26.00 -228.00
6.64 35.00 80.00 38.00 -108.00 35.00 -254.00
6.71 27.00 86.00 20.00 -100.00 115.00 -254.00
6.79 21.00 96.00 3.00 -76.00 186.00 -218.00
6.86 17.00 111.00 -10.00 -40.00 225.00 -152.00
6.93 15.00 128.00 -19.00 -8.00 231.00 -90.00
7.00 16.00 144.00 -23.00 20.00 216.00 -38.00
7.07 18.00 159.00 -25.00 39.00 195.00 4.00
7.14 21.00 172.00 -23.00 55.00 173.00 36.00
7.21 25.00 183.00 -20.00 66.00 146.00 62.00
7.29 30.00 192.00 -14.00 77.00 120.00 86.00
7.36 36.00 200.00 -8.00 86.00 91.00 104.00
7.43 43.00 205.00 0.00 93.00 64.00 121.00
7.50 50.00 209.00 10.00 99.00 33.00 134.00
7.57 57.00 210.00 20.00 103.00 3.00 145.00
7.64 64.00 209.00 30.00 103.00 -30.00 154.00
7.71 72.00 206.00 42.00 103.00 -65.00 162.00
7.79 79.00 200.00 53.00 105.00 -101.00 163.00
7.86 86.00 192.00 65.00 102.00 -140.00 162.00
7.93 94.00 180.00 76.00 96.00 -186.00 157.00
8.00 100.00 165.00 87.00 90.00 -231.00 143.00
8.07 106.00 147.00 96.00 73.00 -284.00 115.00
8.14 110.00 125.00 103.00 46.00 -328.00 68.00
8.21 112.00 100.00 105.00 10.00 -353.00 -5.00
8.29 111.00 76.00 102.00 -36.00 -328.00 -89.00
8.36 108.00 54.00 93.00 -72.00 -264.00 -149.00
8.43 102.00 38.00 81.00 -84.00 -187.00 -178.00
8.50 96.00 27.00 68.00 -87.00 -116.00 -181.00
8.57 90.00 22.00 56.00 -81.00 -52.00 -172.00
8.64 84.00 20.00 44.00 -74.00 -5.00 -153.00
8.71 79.00 21.00 34.00 -57.00 37.00 -126.00
8.79 76.00 25.00 26.00 -41.00 70.00 -97.00
8.86 74.00 31.00 20.00 -23.00 95.00 -65.00
8.93 73.00 38.00 17.00 -1.00 116.00 -30.00
9.00 73.00 47.00 16.00 17.00 132.00 4.00
9.07 75.00 57.00 17.00 38.00 141.00 41.00
9.14 79.00 67.00 22.00 61.00 144.00 84.00
9.21 84.00 77.00 29.00 85.00 141.00 128.00
9.29 91.00 87.00 40.00 116.00 128.00 176.00
9.36 101.00 95.00 55.00 149.00 97.00 230.00
9.43 113.00 100.00 73.00 180.00 38.00 281.00
9.50 127.00 100.00 94.00 209.00 -56.00 310.00
9.57 142.00 92.00 116.00 205.00 -173.00 287.00
9.64 155.00 76.00 134.00 166.00 -246.00 206.00
9.71 165.00 58.00 145.00 119.00 -259.00 125.00
9.79 172.00 40.00 152.00 76.00 -242.00 60.00
9.86 177.00 24.00 155.00 44.00 -212.00 12.00
9.93 179.00 10.00 154.00 14.00 -179.00 -25.00
10.00 179.00 -2.00 151.00 -8.00 -141.00 -58.00
10.07 178.00 -10.00 146.00 -30.00 -99.00 -85.00
10.14 175.00 -16.00 139.00 -47.00 -54.00 -104.00
10.21 171.00 -18.00 131.00 -62.00 -2.00 -120.00
10.29 166.00 -16.00 122.00 -75.00 54.00 -124.00
10.36 160.00 -10.00 114.00 -85.00 119.00 -124.00
10.43 154.00 1.00 105.00 -83.00 195.00 -104.00
10.50 149.00 18.00 100.00 -60.00 274.00 -51.00
10.57 150.00 41.00 105.00 -1.00 318.00 44.00
10.64 149.00 62.00 106.00 67.00 274.00 135.00
10.71 155.00 78.00 117.00 112.00 193.00 180.00
10.79 164.00 89.00 131.00 135.00 109.00 193.00
10.86 174.00 94.00 144.00 142.00 37.00 186.00
10.93 185.00 95.00 157.00 138.00 -22.00 170.00
