# t   x    y    z   vx   vy   vz
0.00 -1.00 3.00 -1.00 0.00 2.00 -0.00
0.07 -1.00 3.00 -1.00 -1.00 6.00 -0.00
0.14 -2.00 3.00 -2.00 -4.00 9.00 -1.00
0.21 -2.00 3.00 -2.00 -4.00 8.00 0.00
0.29 -2.00 4.00 -2.00 -4.00 7.00 -0.00
0.36 -3.00 4.00 -2.00 -7.00 8.00 1.00
0.43 -3.00 5.00 -2.00 -8.00 12.00 -2.00
0.50 -3.00 6.00 -2.00 -4.00 9.00 -3.00
0.57 -4.00 6.00 -2.00 -3.00 8.00 -2.00
0.64 -4.00 7.00 -2.00 -4.00 5.00 -2.00
0.71 -4.00 7.00 -2.00 -8.00 6.00 -1.00
0.79 -5.00 8.00 -3.00 -7.00 11.00 -7.00
0.86 -5.00 9.00 -3.00 -8.00 6.00 -10.00
0.93 -6.00 10.00 -4.00 -9.00 11.00 -9.00
1.00 -7.00 10.00 -4.00 -7.00 11.00 -8.00
1.07 -7.00 11.00 -5.00 -4.00 11.00 -9.00
1.14 -7.00 12.00 -6.00 -5.00 15.00 -11.00
1.21 -8.00 13.00 -6.00 -9.00 15.00 -11.00
1.29 -9.00 15.00 -7.00 -8.00 17.00 -11.00
1.36 -9.00 16.00 -8.00 -11.00 17.00 -11.00
1.43 -10.00 17.00 -9.00 -11.00 14.00 -13.00
1.50 -11.00 18.00 -10.00 -14.00 23.00 -15.00
1.57 -11.00 20.00 -11.00 -10.00 22.00 -16.00
1.64 -12.00 21.00 -12.00 -15.00 25.00 -13.00
1.71 -13.00 23.00 -13.00 -13.00 26.00 -14.00
1.79 -14.00 25.00 -14.00 -15.00 25.00 -16.00
1.86 -15.00 27.00 -15.00 -19.00 27.00 -15.00
1.93 -17.00 29.00 -16.00 -25.00 31.00 -15.00
2.00 -18.00 32.00 -17.00 -22.00 34.00 -15.00
2.07 -20.00 34.00 -18.00 -23.00 40.00 -17.00
2.14 -21.00 37.00 -19.00 -18.00 40.00 -16.00
2.21 -23.00 40.00 -20.00 -19.00 40.00 -19.00
2.29 -24.00 43.00 -22.00 -23.00 38.00 -19.00
2.36 -26.00 46.00 -23.00 -24.00 44.00 -19.00
2.43 -28.00 49.00 -24.00 -24.00 45.00 -19.00
2.50 -29.00 52.00 -26.00 -25.00 49.00 -20.00
2.57 -31.00 56.00 -27.00 -25.00 54.00 -22.00
2.64 -33.00 60.00 -29.00 -25.00 54.00 -19.00
2.71 -35.00 64.00 -30.00 -26.00 56.00 -22.00
2.79 -37.00 68.00 -32.00 -28.00 58.00 -24.00
2.86 -39.00 72.00 -34.00 -32.00 63.00 -24.00
2.93 -41.00 77.00 -35.00 -30.00 66.00 -28.00
3.00 -43.00 82.00 -37.00 -30.00 72.00 -28.00
3.07 -45.00 87.00 -39.00 -34.00 79.00 -28.00
3.14 -48.00 93.00 -42.00 -34.00 83.00 -30.00
3.21 -50.00 99.00 -44.00 -37.00 84.00 -30.00
3.29 -53.00 105.00 -46.00 -41.00 91.00 -31.00
3.36 -56.00 112.00 -48.00 -44.00 99.00 -32.00
3.43 -59.00 120.00 -50.00 -43.00 112.00 -31.00
3.50 -62.00 128.00 -52.00 -41.00 121.00 -30.00
3.57 -65.00 137.00 -54.00 -44.00 134.00 -28.00
3.64 -68.00 147.00 -56.00 -45.00 149.00 -28.00
3.71 -71.00 159.00 -58.00 -43.00 171.00 -21.00
3.79 -74.00 172.00 -59.00 -43.00 192.00 -11.00
3.86 -77.00 187.00 -59.00 -36.00 227.00 10.00
3.93 -79.00 204.00 -57.00 -7.00 265.00 57.00
